id,season - violin soloist w/ orchestra
-4kTei0XrCs,Spring - Giuliano Carmignola w/ Venice Baroque Orchestra
aFHPRi0ZeXE,Spring - Julia Fischer w/ Academy of St Martin in the Fields
TKthRw4KjEg,Spring - Itzhak Perlman w/ Israel Philharmonic Orchestra
e3nSvIiBNFo,Spring - Ashot Tigranyan w/ Classical Concert Chamber Orchestra
ZNBeW_2kGEA,Spring - Jeanne Lamon w/ Tafelmusik Baroque Orchestra
CcrrXHnN5uU,Spring - Elizabeth Blumenstock w/ American Baroque
g65oWFMSoK0,Summer - Mari Silje Samuelsen w/ Trondheim Soloists
xhkoUQ7HdIQ,Summer - Julia Fischer w/ Academy of St Martin in the Fields
kaoqCARilbA,Summer - Agnieszka Uscinska w/ Stanislaw Moniuszko School of Music Orchestra
dauL0Uu7G3A,Summer - Federico Agostini w/ I Musici Group
0K8QKI8B_9Q,Summer - Julian Rachlin w/ Israel Philharmonic Orchestra
VG53Lg9jfvw,Summer - Itzhak Perlman w/ Israel Philharmonic Orchestra
WQ1T0Io6ZBM,Summer - Sarah Chang w/ Orpheus Chamber Orchestra
H7hGiZ579cs,Autumn - Julia Fischer w/ Academy of St Martin in the Fields
Q8AN0jWNrJA,Autumn - John Harrison w/ Wichita State University Chamber Players
Z21_VpNipfg,Autumn - Frederieke Saeijs w/ The Netherlands Symphony Orchestra 
-pk_hw9Kcuk,Autumn - Federico Agostini w/ I Musici Group
rvFjyrJlfAI,Autumn - Clara Jumi Kang w/ Sejong Soloists
yESglrQm3-0,Autumn - Pina Carmirelli w/ I Musici
1JEJ4Is6fTg,Autumn - Itzhak Perlman w/ Israel Philharmonic Orchestra
hBT31dFvVZA,Autumn - Sarah Chang w/ Orpheus Chamber Orchestra
hpYXIv0EKE8,Autumn - Gidon Kremer w/ English Chamber Orchestra
nGdFHJXciAQ,Winter - Federico Agostini w/ I Musici Group
dmHneL9w9eI,Winter - Itzhak Perlman w/ London Philharmonic Orchestra
Pgs_zB6Et2Q,Winter - José Louis Garcia w/ English Chamber Orchestra
Q_kj3kowTTk,Winter - Stephanie Gonley w/ English Chamber Orchestra
ZPdk5GaIDjo,Winter - Cynthia Miller Freivogel w/ Voices of Music
vUKEED3CIxA,Winter - Julia Fischer w/ Academy of St Martin in the Fields
XgbkvaLy3Lg,Winter - Rainer Kussmaul w/ Stuttgart Chamber Orchestra
IXOuabNg4Bk,Winter - John Harrison w/ Wichita State University Chamber Players
sRgaBqD2tmw,Winter - Sarah Chang w/ Orpheus Chamber Orchestra

